城市名,类型,车系id,车系名称,最低价,最高价,排名,本地销量,评论数,品牌名称,子品牌名称,价格区间,经销商价格
安阳,纯电动,4629,哪吒V,7.99,12.38,1,137,226,哪吒汽车,合众汽车,7.99-12.38万,7.59-12.18万
安阳,纯电动,4499,五菱宏光MINIEV,3.28,9.99,2,82,524,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
安阳,纯电动,5008,海豚,10.28,13.08,3,53,400,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安阳,纯电动,5859,长安Lumin,4.89,6.39,4,46,68,长安,长安汽车,4.89-6.39万,4.88-6.38万
安阳,纯电动,5257,QQ冰淇淋,3.99,5.752,5,39,56,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
安阳,纯电动,5248,元PLUS,13.78,16.58,6,32,417,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
安阳,纯电动,1101,小蚂蚁,7.39,9.4,7,32,200,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
安阳,纯电动,4814,AION Y,13.76,18.98,8,29,374,埃安,广汽埃安新能源,13.76-18.98万,13.76-18.98万
安阳,纯电动,4819,花仙子,6.69,9.09,9,20,44,思皓,江汽集团,6.69-9.09万,6.69-9.09万
安阳,纯电动,3275,哪吒U,12.38,18.58,10,18,173,哪吒汽车,合众汽车,12.38-18.58万,11.98-18.18万
安阳,纯电动,5817,几何E,8.68,13.18,11,17,53,几何汽车,几何汽车,8.68-13.18万,8.48-13.18万
安阳,纯电动,5579,海豹,20.98,28.68,12,15,160,比亚迪,比亚迪,20.98-28.68万,20.98-28.68万
安阳,纯电动,4224,风光E1,6.78,7.38,13,13,1,东风风光,东风小康,6.78-7.38万,6.38-6.98万
安阳,纯电动,3710,科莱威CLEVER,5.9999,5.9999,14,13,77,荣威,上汽集团,5.9999万,6.00万
安阳,纯电动,4300,汉EV,21.48,32.98,15,12,1132,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
鞍山,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,27,524,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
