求和项:本地销量,列标签,,
行标签,零售量,批发量,零售量占比
比亚迪,1536027,1569036,97.9%
宋PLUS DM-i,320059,322409,99.3%
秦PLUS DM-i,198651,205481,96.7%
海豚,170965,172105,99.3%
汉EV,137815,138166,99.7%
元PLUS,126154,143188,88.1%
秦PLUS EV,113414,113592,99.8%
唐DM,108467,108786,99.7%
汉DM,99736,100563,99.2%
宋PLUS EV,60181,60365,99.7%
驱逐舰 05,49810,50023,99.6%
元Pro,41379,42060,98.4%
秦EV,31340,31467,99.6%
比亚迪e2,24557,24784,99.1%
海豹,20466,20466,100.0%
唐EV,17136,18986,90.3%
宋MAX DM-i,8412,8430,99.8%
比亚迪e3,6264,6264,100.0%
比亚迪D1,1221,1901,64.2%
上汽大众,1198962,1304513,91.9%
朗逸,362341,396658,91.3%
帕萨特,160379,169398,94.7%
途观L,146060,162223,90.0%
途岳,123671,123931,99.8%
桑塔纳,116057,123401,94.0%
凌渡,88554,91952,96.3%
途昂,50821,61430,82.7%
ID.4 X,33792,36914,91.5%
大众ID.3,23215,24915,93.2%
Polo,22983,27911,82.3%
威然,17297,22012,78.6%
途铠,15894,19431,81.8%
帕萨特PHEV,12340,17338,71.2%
ID.6 X,10961,12421,88.2%
途观L PHEV,6229,7530,82.7%
辉昂,4859,4539,107.1%
途安L,3509,2509,139.9%
长安汽车,1036655,1099027,94.3%
长安CS75 PLUS,217097,225925,96.1%
长安CS55 PLUS,156968,163290,96.1%
逸动,143275,144997,98.8%
长安欧尚X5,108046,105034,102.9%
长安UNI-V,77034,81842,94.1%
长安UNI-T,55626,60931,91.3%
长安CS35 PLUS,47985,59083,81.2%
长安欧尚X7 PLUS,46622,20717,225.0%
长安Lumin,34902,44564,78.3%
长安欧尚Z6,33429,35812,93.3%
长安UNI-K,28907,32392,89.2%
锐程CC,19704,16508,119.4%
逸动EV,13979,14516,96.3%
悦翔,10028,25614,39.2%
长安深蓝SL03,9971,15119,66.0%
长安UNI-K iDD,9782,11331,86.3%
长安CS85 COUPE,7557,13830,54.6%
长安CS15,5175,12310,42.0%
锐程PLUS,2318,5302,43.7%
长安CS95,2080,5336,39.0%
逸动DT,1984,2166,91.6%
长安欧尚科尚,1830,1211,151.1%
长安欧尚Z6 iDD,1471,1180,124.7%
长安欧尚科赛Pro,885,17,5205.9%
一汽-大众,1026297,1094145,93.8%
速腾,222339,208188,106.8%
宝来,214213,240984,88.9%
迈腾,146697,161426,90.9%
T-ROC探歌,89474,90091,99.3%
探岳,87393,100243,87.2%
高尔夫,82546,87160,94.7%
ID.4 CROZZ,49775,49913,99.7%
大众CC,28579,34923,81.8%
ID.6 CROZZ,25488,26783,95.2%
揽境,24890,29192,85.3%
探影,21285,24944,85.3%
探岳X,14003,14813,94.5%
迈腾GTE,11641,14327,81.3%
探岳GTE,7162,8575,83.5%
揽巡,812,2583,31.4%
上汽通用五菱,998434,1182000,84.5%
五菱宏光MINIEV,429274,513809,83.5%
五菱宏光,180159,194202,92.8%
五菱星辰,90221,99716,90.5%
五菱宏光V,86312,117668,73.4%
五菱荣光,60354,64188,94.0%
五菱之光,36072,37547,96.1%
凯捷Victory,26424,21961,120.3%
宝骏KiWi EV,25066,29295,85.6%
五菱佳辰,24583,41559,59.2%
