年,月份,品牌id,厂商id,子品牌id,车系id,车系名称,级别,类型,销量,指导价,页码,dt
2020,1,12,94,428,428,轩逸,紧凑型,三厢,50275,9.98-14.49万元,1,20230112
2020,1,6,40,549,549,朗逸,紧凑型,三厢,45836,12.09-15.09万元,1,20230112
2020,1,136,230,776,776,哈弗H6,紧凑型,SUV,37674,9.89-15.70万元,1,20230112
2020,1,9,76,492,492,卡罗拉,紧凑型,三厢,31392,10.98-15.98万元,1,20230112
2020,1,6,30,573,573,宝来,紧凑型,三厢,30557,9.88-15.70万元,1,20230112
2020,1,8,58,814,814,英朗,紧凑型,三厢,29328,11.99-12.59万元,1,20230112
2020,1,6,30,410,410,速腾,紧凑型,三厢,28771,12.79-17.29万元,1,20230112
2020,1,32,198,2325,2325,吉利博越,紧凑型,SUV,24735,9.18-14.28万元,1,20230112
2020,1,136,230,2884,2884,哈弗M6,紧凑型,SUV,21171,7.19-9.29万元,1,20230112
2020,1,65,127,841,841,五菱宏光,,微面,20916,4.60-5.99万元,1,20230112
2020,1,2,135,145,145,CR-V,紧凑型,SUV,19497,16.98-27.68万元,1,20230112
2020,1,3,164,357,357,奔驰E级,中大型,三厢,19472,43.68-55.60万元,1,20230112
2020,1,28,55,3392,3392,长安CS75 PLUS,紧凑型,SUV,18669,11.79-15.49万元,1,20230112
2020,1,3,164,2326,2326,奔驰GLC级,中型,SUV,18631,40.63-47.68万元,1,20230112
2020,1,22,153,3322,3322,科鲁泽,紧凑型,三厢,18608,9.49-10.89万元,1,20230112
2020,1,2,135,395,395,思域,紧凑型,两厢,18380,12.99-18.79万元,1,20230112
2020,1,9,175,1972,1972,雷凌,紧凑型,三厢,18320,11.18-15.28万元,1,20230112
2020,1,32,198,2017,2017,吉利帝豪,紧凑型,三厢,17738,6.99-12.98万元,1,20230112
2020,1,6,30,3216,3216,探岳,中型,SUV,17337,20.49-25.99万元,1,20230112
2020,1,6,40,2275,2275,桑塔纳,紧凑型,三厢,17147,8.79-11.28万元,1,20230112
2020,1,3,164,539,539,奔驰C级,中型,三厢,16258,32.52-37.73万元,2,20230112
2020,1,2,75,86,86,雅阁,中型,三厢,16046,16.98-25.98万元,2,20230112
2020,1,6,40,680,680,途观L,中型,SUV,15950,19.90-28.38万元,2,20230112
2020,1,12,94,578,578,奇骏,紧凑型,SUV,15917,17.99-26.29万元,2,20230112
2020,1,1,69,10,10,奥迪A6L,中大型,三厢,15747,42.79-65.68万元,2,20230112
2020,1,6,40,6,6,帕萨特,中型,三厢,15122,18.19-25.29万元,2,20230112
2020,1,28,55,3271,3271,长安CS35 PLUS,小型,SUV,14934,6.99-10.99万元,2,20230112
2020,1,9,175,406,406,凯美瑞,中型,三厢,14503,17.98-26.98万元,2,20230112
2020,1,276,406,2641,2641,宝骏510,小型,SUV,13792,5.38-7.38万元,2,20230112
2020,1,12,94,523,523,逍客,紧凑型,SUV,13740,15.49-18.89万元,2,20230112
2020,1,1,69,9,9,奥迪A4L,中型,三厢,13587,32.18-39.68万元,2,20230112
