年,月份,集团id,集团名称,销量,页码,dt
2021,1,39,上汽,536259,1,20230112
2021,1,44,一汽,340099,1,20230112
2021,1,9,东风,296875,1,20230112
2021,1,16,广汽,204118,1,20230112
2021,1,6,长安,198906,1,20230112
2021,1,21,吉利,171598,1,20230112
2021,1,3,北汽,144404,1,20230112
2021,1,7,长城,124095,1,20230112
2021,1,17,华晨,77314,1,20230112
2021,1,31,奇瑞,74207,1,20230112
2021,1,5,比亚迪,50933,1,20230112
2021,1,2,宝马,24525,1,20230112
2021,1,13,丰田,22902,1,20230112
2021,1,11,大众,19288,1,20230112
2021,1,90,特斯拉,16764,1,20230112
2021,1,10,戴姆勒,16691,1,20230112
2021,1,20,江淮,8267,1,20230112
2021,1,332,蔚来汽车,7194,1,20230112
2021,1,352,小鹏汽车,5569,1,20230112
2021,1,40,塔塔,5285,1,20230112
2021,1,693,理想,4972,2,20230112
2021,1,12,福汽,4273,2,20230112
2021,1,22,江铃,3486,2,20230112
2021,1,412,威马,2326,2,20230112
2021,1,312,合众汽车,1896,2,20230112
2021,1,14,福特,1851,2,20230112
2021,1,33,斯巴鲁,1660,2,20230112
2021,1,653,零跑汽车,1564,2,20230112
2021,1,23,克莱斯勒,1343,2,20230112
2021,1,50,中国重汽,919,2,20230112
2021,1,18,海马,832,2,20230112
2021,1,15,菲亚特,789,2,20230112
2021,1,121,四川汽车,634,2,20230112
2021,1,833,国机智骏,609,2,20230112
2021,1,753,爱驰汽车,232,2,20230112
2021,1,32,日产,212,2,20230112
2021,1,43,现代,200,2,20230112
2021,1,1093,吉麦汽车,190,2,20230112
2021,1,1013,大运汽车,184,2,20230112
2021,1,130,汉腾汽车,137,2,20230112
2021,1,112,Prodrive,103,3,20230112
2021,1,633,金康,93,3,20230112
2021,1,45,众泰,90,3,20230112
2021,1,1073,开沃汽车,82,3,20230112
2021,1,292,电咖汽车,70,3,20230112
2021,1,1113,宝能,66,3,20230112
2021,1,38,三菱,55,3,20230112
2021,1,8,长丰,49,3,20230112
2021,1,893,速达电动车,37,3,20230112
2021,1,533,大乘汽车,19,3,20230112
2021,1,110,迈凯伦,17,3,20230112
2021,1,933,雷丁汽车,16,3,20230112
2021,1,513,新特汽车,9,3,20230112
2021,1,115,航天科工,4,3,20230112
2021,1,210,九龙汽车,3,3,20230112
2021,1,232,御捷,3,3,20230112
2021,1,19,华泰,2,3,20230112
2021,1,30,青年,2,3,20230112
2021,1,593,湖南恒润,2,3,20230112
2021,1,25,铃木,1,3,20230112
2021,2,39,上汽,305863,1,20230112
2021,2,44,一汽,189320,1,20230112
2021,2,9,东风,154277,1,20230112
2021,2,6,长安,107890,1,20230112
2021,2,16,广汽,105393,1,20230112
2021,2,21,吉利,100894,1,20230112
2021,2,3,北汽,72499,1,20230112
2021,2,7,长城,68525,1,20230112
2021,2,17,华晨,41425,1,20230112
2021,2,31,奇瑞,41035,1,20230112
2021,2,5,比亚迪,24377,1,20230112
2021,2,90,特斯拉,18156,1,20230112
2021,2,13,丰田,16113,1,20230112
2021,2,2,宝马,12325,1,20230112
2021,2,11,大众,10016,1,20230112
2021,2,10,戴姆勒,9611,1,20230112
2021,2,332,蔚来汽车,5739,1,20230112
2021,2,20,江淮,5314,1,20230112
2021,2,40,塔塔,2544,1,20230112
2021,2,352,小鹏汽车,2345,1,20230112
2021,2,693,理想,2291,2,20230112
2021,2,12,福汽,2059,2,20230112
2021,2,22,江铃,1858,2,20230112
2021,2,33,斯巴鲁,864,2,20230112
2021,2,412,威马,808,2,20230112
2021,2,14,福特,767,2,20230112
2021,2,312,合众汽车,704,2,20230112
2021,2,23,克莱斯勒,700,2,20230112
2021,2,18,海马,655,2,20230112
2021,2,653,零跑汽车,581,2,20230112
2021,2,50,中国重汽,522,2,20230112
2021,2,15,菲亚特,433,2,20230112
2021,2,121,四川汽车,367,2,20230112
2021,2,833,国机智骏,154,2,20230112
2021,2,1093,吉麦汽车,115,2,20230112
2021,2,1013,大运汽车,96,2,20230112
2021,2,32,日产,74,2,20230112
2021,2,43,现代,69,2,20230112
2021,2,633,金康,62,2,20230112
2021,2,753,爱驰汽车,57,2,20230112
2021,2,130,汉腾汽车,52,3,20230112
2021,2,1073,开沃汽车,48,3,20230112
2021,2,292,电咖汽车,34,3,20230112
2021,2,1113,宝能,31,3,20230112
2021,2,45,众泰,30,3,20230112
2021,2,112,Prodrive,25,3,20230112
2021,2,953,华人运通,24,3,20230112
2021,2,8,长丰,15,3,20230112
2021,2,933,雷丁汽车,15,3,20230112
2021,2,110,迈凯伦,11,3,20230112
2021,2,513,新特汽车,11,3,20230112
2021,2,210,九龙汽车,8,3,20230112
2021,2,893,速达电动车,8,3,20230112
2021,2,533,大乘汽车,7,3,20230112
2021,2,38,三菱,5,3,20230112
2021,2,111,宝腾,2,3,20230112
2021,3,39,上汽,388732,1,20230112
2021,3,44,一汽,297177,1,20230112
2021,3,9,东风,208897,1,20230112
2021,3,16,广汽,166989,1,20230112
2021,3,6,长安,124753,1,20230112
2021,3,21,吉利,104797,1,20230112
2021,3,3,北汽,95012,1,20230112
2021,3,7,长城,78967,1,20230112
2021,3,17,华晨,69007,1,20230112
2021,3,31,奇瑞,44857,1,20230112
2021,3,90,特斯拉,34713,1,20230112
2021,3,5,比亚迪,32623,1,20230112
2021,3,13,丰田,27418,1,20230112
2021,3,11,大众,17914,1,20230112
2021,3,2,宝马,17400,1,20230112
2021,3,10,戴姆勒,15397,1,20230112
2021,3,332,蔚来汽车,6911,1,20230112
2021,3,20,江淮,6522,1,20230112
2021,3,693,理想,5058,1,20230112
2021,3,352,小鹏汽车,4748,1,20230112
2021,3,40,塔塔,3874,2,20230112
2021,3,12,福汽,3611,2,20230112
2021,3,312,合众汽车,2421,2,20230112
2021,3,653,零跑汽车,2033,2,20230112
2021,3,22,江铃,2023,2,20230112
2021,3,412,威马,1767,2,20230112
2021,3,33,斯巴鲁,1525,2,20230112
