carid,类型,page,车系,年款,车型,标题,上牌年限,公里数（万公里）,二手车售价,新车售价,详情页url,车源地,上牌时间,过户次数,上牌地,车身颜色,内饰颜色,车商名称,在售车源数,车商地址,dt
8764520,纯电20w下,85,科莱威CLEVER ,2020款, 都市风尚版,科莱威CLEVER 2020款 都市风尚版,2年6个月,2.70万公里,4.68万,6.00万,https://www.dongchedi.com/usedcar/8764520,无锡,2020年07月上牌,1次,无锡,白色,深色,江阴天诚车业,在售车源19辆,无锡市江阴县澄江镇果园路一号,2023/01/05
8679864,纯电20w下,85,Model 3 ,2020款, 改款 标准续航后驱升级版,Model 3 2020款 改款 标准续航后驱升级版,2年,2.80万公里,17.70万,26.97万,https://www.dongchedi.com/usedcar/8679864,绍兴,2021年01月上牌,1次,绍兴,白色,深色,绍兴祺诚,在售车源49辆,浙江省绍兴市越城区马山街道启圣路以北5幢综合楼一楼243室,2023/01/05
8639848,纯电20w下,85,远程E5 ,2019款, E5L 纯电动厢式运输车国轩39.9kWh,远程E5 2019款 E5L 纯电动厢式运输车国轩39.9kWh,1年9个月,8万公里,4.88万,11.96万,https://www.dongchedi.com/usedcar/8639848,深圳,2021年04月上牌,0次,深圳,白色,浅色,深圳货运面包车,在售车源386辆,深圳市龙岗区同乐阳和路6号,2023/01/05
8531167,纯电20w下,85,奔奔EV ,2019款, EV360 标准型,奔奔EV 2019款 EV360 标准型,3年7个月,6万公里,4.58万,6.98万,https://www.dongchedi.com/usedcar/8531167,深圳,2019年05月上牌,0次,惠州,白色,深色,车天下二手车,在售车源12辆,深圳龙岗区横岗街道拗背路1巷车天下二手车,2023/01/05
8459829,纯电20w下,85,Model 3 ,2020款, 改款 标准续航后驱升级版,Model 3 2020款 改款 标准续航后驱升级版,2年,4万公里,18.80万,26.97万,https://www.dongchedi.com/usedcar/8459829,北京,2020年12月上牌,0次,北京,银灰色,浅色,TwoCar,在售车源13辆,北京市朝阳区东坝中路利锦府北门B3停车场南出口旁,2023/01/05
8432718,纯电20w下,85,海豚 ,2021款, 骑士版,海豚 2021款 骑士版,2个月,0.15万公里,11.80万,13.08万,https://www.dongchedi.com/usedcar/8432718,合肥,2022年10月上牌,1次,合肥,紫色,深色,合肥车满满名车,在售车源15辆,合肥市瑶海区国际汽车城，世联二手车城,2023/01/05
8430668,纯电20w下,85,汉EV ,2020款, 四驱高性能版旗舰型,汉EV 2020款 四驱高性能版旗舰型,2年,4.20万公里,19.80万,28.45万,https://www.dongchedi.com/usedcar/8430668,北京,2020年12月上牌,1次,北京,黑色,浅色,北京玖玖名车,在售车源66辆,北京市大兴区中和街16号院6号楼,2023/01/05
8324871,纯电20w下,85,宝骏KiWi EV ,2021款, 设计师 磷酸铁锂,宝骏KiWi EV 2021款 设计师 磷酸铁锂,7个月,0.90万公里,6.39万,7.78万,https://www.dongchedi.com/usedcar/8324871,东莞,2022年06月上牌,0次,东莞,黑色,深色,湘聚精品二手车,在售车源23辆,东莞市万江区高埗路口弘达二手车市,2023/01/05
8189832,纯电20w下,85,小蚂蚁 ,2018款, 小蚂蚁400 智享版 4座,小蚂蚁 2018款 小蚂蚁400 智享版 4座,3年11个月,4万公里,4.58万,6.58万,https://www.dongchedi.com/usedcar/8189832,东营,2019年01月上牌,0次,东营,白色,深色,东营讯风名车汇,在售车源8辆,山东省东营市西一路交运二手车市场A1-4号讯风名车汇,2023/01/05
8119888,纯电20w下,85,北汽新能源EC ,2019款, EC3 灵动版,北汽新能源EC 2019款 EC3 灵动版,2年7个月,3.61万公里,5.76万,7.38万,https://www.dongchedi.com/usedcar/8119888,上海,2020年06月上牌,1次,上海,白色,深色,上海忠虎二手车,在售车源21辆,上海市江桥镇爱特路369号,2023/01/05
8019871,纯电20w下,85,元EV ,2019款, EV535 智联领潮型,元EV 2019款 EV535 智联领潮型,3年,6.30万公里,7.38万,11.99万,https://www.dongchedi.com/usedcar/8019871,东莞,2020年01月上牌,0次,东莞,白色,深色,广嘉名车,在售车源3辆,广东东莞寮步塘唇礑岭西街3号一号楼之一室,2023/01/05
7629921,纯电20w下,85,小鹏P5 ,2021款, 550G,小鹏P5 2021款 550G,8个月,0.01万公里,15.90万,19.39万,https://www.dongchedi.com/usedcar/7629921,泉州,2022年05月上牌,1次,泉州,白色,深色,E.V LIFE纯电生活馆,在售车源13辆,福建省泉州市晋江市罗山街道梧桐社区和平南路36号豪信新能源汽车基地A区9号,2023/01/05
7622031,纯电20w下,85,小鹏G3 ,2020款, 520 智享版,小鹏G3 2020款 520 智享版,1年9个月,0.60万公里,14.00万,17.98万,https://www.dongchedi.com/usedcar/7622031,深圳,2021年03月上牌,2次,深圳,白色,浅色,鸿捷信二手车,在售车源6辆,深圳市宝安区西乡街道明珠商务大厦,2023/01/05
7619988,纯电20w下,85,小鹏P5 ,2021款, 550G,小鹏P5 2021款 550G,7个月,0.01万公里,15.90万,19.39万,https://www.dongchedi.com/usedcar/7619988,泉州,2022年06月上牌,1次,泉州,其他,深色,E.V LIFE纯电生活馆,在售车源13辆,福建省泉州市晋江市罗山街道梧桐社区和平南路36号豪信新能源汽车基地A区9号,2023/01/05
7248983,纯电20w下,85,元EV ,2019款, EV360 智联领享型,元EV 2019款 EV360 智联领享型,3年9个月,7万公里,6.75万,10.99万,https://www.dongchedi.com/usedcar/7248983,北京,2019年04月上牌,0次,北京,白色,深色,北京顺驰名车,在售车源37辆,北京市昌平区北辰亚运村汽车交易市场北五区2号,2023/01/05
6222751,纯电20w下,85,雷诺 e诺 ,2019款, e智型,雷诺 e诺 2019款 e智型,2年11个月,2.80万公里,5.60万,7.18万,https://www.dongchedi.com/usedcar/6222751,石家庄,2020年02月上牌,0次,石家庄,白色,深色,河北尚奥名车,在售车源16辆,石家庄新华区西三庄二手车交易市场,2023/01/05
5613241,纯电20w下,85,五菱EV50 ,2021款, 厢式物流车慧视通鹏辉43.2kWh通宇电控,五菱EV50 2021款 厢式物流车慧视通鹏辉43.2kWh通宇电控,9个月,0.10万公里,9.90万,12.68万,https://www.dongchedi.com/usedcar/5613241,广州,2022年04月上牌,0次,广州,银灰色,浅色,八稳二手车,在售车源3辆,广州市海珠区南洲北路1号1-4号铺,2023/01/05
9022710,纯电20w下,85,比亚迪D1 ,2021款, 领创版,比亚迪D1 2021款 领创版,1年4个月,5.20万公里,9.68万,16.78万,https://www.dongchedi.com/usedcar/9022710,广州,2021年09月上牌,1次,广州,白色,浅色,小锤汽车,在售车源17辆,广州市番禺区迎星中路9号,2023/01/05
9005376,纯电20w下,85,AION Y ,2021款, 70 科技活力版,AION Y 2021款 70 科技活力版,1年1个月,0.69万公里,12.30万,13.59万,https://www.dongchedi.com/usedcar/9005376,青岛,2021年12月上牌,0次,青岛,深灰色,深色,青岛天成车行,在售车源15辆,青岛市市北区南昌路197号4楼天成车行,2023/01/05
8974212,纯电20w下,85,长安欧尚A600 EV ,2021款, 轻快版 5座,长安欧尚A600 EV 2021款 轻快版 5座,1年3个月,5万公里,7.38万,14.98万,https://www.dongchedi.com/usedcar/8974212,深圳,2021年09月上牌,0次,深圳,白色,深色,梵鑫精品车,在售车源6辆,深圳市龙岗区宝龙街道龙东社区爱南路52号龙达车城G08,2023/01/05
8845970,纯电20w下,85,小鹏P5 ,2022款, 460E+,小鹏P5 2022款 460E+,7个月,0.63万公里,16.28万,19.79万,https://www.dongchedi.com/usedcar/8845970,昆明,2022年06月上牌,0次,昆明,白色,深色,车天下二手车,在售车源19辆,云南省昆明市盘龙区沣源路107号红星美凯龙店负一楼大厅车天下名车,2023/01/05
8705956,纯电20w下,85,欧拉芭蕾猫 ,2022款, 401km 爱丽丝版,欧拉芭蕾猫 2022款 401km 爱丽丝版,2个月,0.01万公里,15.88万,19.30万,https://www.dongchedi.com/usedcar/8705956,南京,2022年11月上牌,0次,南京,其他,浅色,诚信车业,在售车源7辆,江苏省江宁区恒原通二手车市场,2023/01/05
8627281,纯电20w下,85,东风小康EC36 ,2020款, 标准型宁德时代电池,东风小康EC36 2020款 标准型宁德时代电池,2年4个月,15.80万公里,4.89万,10.79万,https://www.dongchedi.com/usedcar/8627281,东莞,2020年09月上牌,0次,东莞,白色,浅色,东莞泰易二手车,在售车源4辆,东莞市寮步镇霞边香园南路1号108室,2023/01/05
8613116,纯电20w下,85,瑞驰EC35 ,2020款, EC35 II 版38.64kWh,瑞驰EC35 2020款 EC35 II 版38.64kWh,2年2个月,8万公里,5.50万,10.28万,https://www.dongchedi.com/usedcar/8613116,东莞,2020年11月上牌,0次,东莞,白色,深色,东莞信赖,在售车源66辆,东莞市联合二手车市场,2023/01/05
8510730,纯电20w下,85,小蚂蚁 ,2019款, 小蚂蚁 4座智享版 35kWh,小蚂蚁 2019款 小蚂蚁 4座智享版 35kWh,3年4个月,4.90万公里,4.88万,6.98万,https://www.dongchedi.com/usedcar/8510730,深圳,2019年09月上牌,0次,深圳,白色,深色,众邦名车,在售车源13辆,深圳市罗湖区笋岗街道宝安北路1000号远望二手车市场C18,2023/01/05
8474046,纯电20w下,85,元EV ,2018款, EV360 智联创酷型,元EV 2018款 EV360 智联创酷型,4年4个月,5.30万公里,6.98万,9.99万,https://www.dongchedi.com/usedcar/8474046,唐山,2018年09月上牌,1次,唐山,蓝色,深色,唐山恩佐新能源汽车,在售车源12辆,唐山市路北区韩城镇后城河村东唐通公路北一排2楼202号,2023/01/05
8278958,纯电20w下,85,ID.4 X ,2021款, Pro 极智长续航版,ID.4 X 2021款 Pro 极智长续航版,9个月,1.50万公里,17.50万,23.59万,https://www.dongchedi.com/usedcar/8278958,南京,2022年03月上牌,0次,南京,蓝色,深色,南京哈密瓜车业,在售车源26辆,南京市栖霞区尧马路70号大公机动车驾驶员培训基地,2023/01/05
8255485,纯电20w下,85,QQ冰淇淋 ,2022款, 甜筒,QQ冰淇淋 2022款 甜筒,1年1个月,0.32万公里,3.98万,4.39万,https://www.dongchedi.com/usedcar/8255485,石家庄,2021年12月上牌,0次,石家庄,绿色,浅色,淘车二手车石家庄分公司,在售车源124辆,河北省石家庄市新华区大郭街道和平西路728号,2023/01/05
8206994,纯电20w下,85,小鹏G3 ,2020款, 520i 智享版,小鹏G3 2020款 520i 智享版,2年,4.20万公里,12.78万,18.28万,https://www.dongchedi.com/usedcar/8206994,上海,2020年12月上牌,0次,上海,红色,深色,上海姬车二手车,在售车源26辆,上海市嘉定区爱特路361号,2023/01/05
8120494,纯电20w下,85,秦PLUS EV ,2021款, 400KM 出行版,秦PLUS EV 2021款 400KM 出行版,8个月,2.50万公里,11.58万,17.58万,https://www.dongchedi.com/usedcar/8120494,广州,2022年05月上牌,0次,广州,白色,深色,永评二手车,在售车源16辆,广州市海珠区广州大道南1468号宝利捷二手车交易市场,2023/01/05
7894514,纯电20w下,85,欧拉黑猫 ,2019款, 351km 女神版,欧拉黑猫 2019款 351km 女神版,2年7个月,3.60万公里,6.58万,7.98万,https://www.dongchedi.com/usedcar/7894514,南宁,2020年06月上牌,0次,南宁,红色,浅色,天誉诚品车业,在售车源2辆,广西壮族自治区南宁市良庆区玉洞街道东风路50号天誉诚品车业,2023/01/05
7667767,纯电20w下,85,元EV ,2018款, EV360 智联炫酷型,元EV 2018款 EV360 智联炫酷型,4年,4.31万公里,6.58万,9.39万,https://www.dongchedi.com/usedcar/7667767,深圳,2018年12月上牌,0次,深圳,白色,浅色,车盟天下新能源汽车,在售车源15辆,深圳市龙华区龙华街道清湖社区清祥路清湖科技园B102,2023/01/05
7583196,纯电20w下,85,AION LX ,2021款, 70 智享版,AION LX 2021款 70 智享版,1年,1.10万公里,17.98万,22.96万,https://www.dongchedi.com/usedcar/7583196,北京,2022年01月上牌,0次,北京,白色,深色,闪电车汇,在售车源23辆,北京市丰台区首经贸中街亿朋苑-三区南侧停车楼4楼盛树长川新能源,2023/01/05
7517068,纯电20w下,85,零跑T03 ,2021款, 400 微糖版,零跑T03 2021款 400 微糖版,1年4个月,0.80万公里,6.98万,6.28万,https://www.dongchedi.com/usedcar/7517068,漳州,2021年09月上牌,1次,漳州,其他,浅色,漳州磐隆名车汇,在售车源13辆,漳州市龙文区朝阳镇浦口村1546号磐隆名车汇,2023/01/05
7243971,纯电20w下,85,小蚂蚁 ,2018款, 小蚂蚁400 智炫版 4座,小蚂蚁 2018款 小蚂蚁400 智炫版 4座,3年8个月,2.80万公里,5.18万,6.98万,https://www.dongchedi.com/usedcar/7243971,上海,2019年05月上牌,0次,上海,白色,深色,上海诚车惠新能源,在售车源21辆,上海市嘉定区爱特路379-1号,2023/01/05
