品牌名称,品牌ID,状态,车系名称,车系ID,年款,车型,车型ID,经销商报价,车主参考价,指导价,dt
极氪,426,在售,ZEEKR 001,5015,2023,WE版 100kWh,81128,30.00万,28.74万,30.00万,2023/1/5
极氪,426,在售,ZEEKR 001,5015,2023,WE版 140kWh,81132,40.30万,暂无报价,40.30万,2023/1/5
极氪,426,在售,ZEEKR 001,5015,2023,WE版 86kWh,81129,30.00万,暂无报价,30.00万,2023/1/5
极氪,426,在售,ZEEKR 001,5015,2023,ME版 100kWh,81130,34.90万,暂无报价,34.90万,2023/1/5
极氪,426,在售,ZEEKR 001,5015,2023,YOU版 100kWh,81131,38.60万,暂无报价,38.60万,2023/1/5
极氪,426,2023款,ZEEKR 001,5015,2023,WE版 100kWh,81128,30.00万,28.74万,30.00万,2023/1/5
极氪,426,2023款,ZEEKR 001,5015,2023,WE版 140kWh,81132,40.30万,暂无报价,40.30万,2023/1/5
极氪,426,2023款,ZEEKR 001,5015,2023,WE版 86kWh,81129,30.00万,暂无报价,30.00万,2023/1/5
极氪,426,2023款,ZEEKR 001,5015,2023,ME版 100kWh,81130,34.90万,暂无报价,34.90万,2023/1/5
极氪,426,2023款,ZEEKR 001,5015,2023,YOU版 100kWh,81131,38.60万,暂无报价,38.60万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2022,超长续航单电机 WE版,75994,29.90万,28.93万,29.90万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2022,长续航双电机 WE版,75995,29.90万,29.34万,29.90万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2022,超长续航双电机 ME版,76022,34.90万,35.08万,34.90万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2022,超长续航双电机 YOU版,75996,38.60万,37.74万,38.60万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2021,长续航双电机 WE版,53181,29.90万,29.02万,29.90万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2021,超长续航单电机 WE版,53183,29.90万,28.50万,29.90万,2023/1/5
极氪,426,停售,ZEEKR 001,5015,2021,超长续航双电机 YOU版,52697,38.60万,35.94万,38.60万,2023/1/5
比亚迪,16,在售,海豹,5579,2022,550KM 标准续航后驱版精英型,73435,21.28万,21.15万,21.28万,2023/1/5
