品牌名称,品牌ID,能源类型,车系名称,车系ID,标签,批发价,报价,官方指导价,是否享受补贴,补贴价,懂车分,车辆照片,dt
极氪,426,纯电,ZEEKR 001,5015,2023新款,30.00-40.30万,暂无报价,30.00万,FALSE,暂无报价,4.12,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae619a7dcb244778e7dac067784674b~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,海豹,5579,中型轿车销量NO.2,21.28-28.98万,21.28-28.98万,21.28万,TRUE,21.28-28.98万,3.97,http://p1-dcd.byteimg.com/img/motor-img/d7ab3d316e19b29973be27d746df2fa9~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱宏光MINIEV,4499,微型轿车销量NO.1,3.28-9.99万,2.98-3.88万,3.28万,FALSE,暂无报价,3.14,http://p9-dcd.byteimg.com/img/motor-img/6efbde874de291b8176fa27814b9bef3~tplv-resize:640:0.png,2023/1/5
特斯拉,63,纯电,Model Y,4363,纯电动销量NO.1,28.89-39.79万,暂无报价,28.89万,FALSE,暂无报价,4.01,http://p1-dcd.byteimg.com/img/motor-img/369ece92bbd1c98470e0b22605b78f31~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,海豚,5008,2023新款,11.68-13.68万,9.68-12.48万,11.68万,FALSE,暂无报价,3.65,http://p1-dcd.byteimg.com/img/motor-img/0ac74e188937a245695428c2db36af92~tplv-resize:640:0.png,2023/1/5
长安深蓝,515,纯电,长安深蓝SL03,5306,中型轿车销量NO.13,17.19-69.99万,17.98-23.18万,17.19万,FALSE,暂无报价,3.84,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/d4b926b898314e86887526ebdecd437b~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,汉EV,4300,中大型轿车销量NO.2,21.98-33.18万,24.00-28.00万,21.98万,TRUE,21.98-23.98万,4.04,http://p1-dcd.byteimg.com/img/motor-img/230b2b739f8601aa0e4125e6e2f350b0~tplv-resize:640:0.png,2023/1/5
特斯拉,63,纯电,Model 3,3762,中型轿车销量NO.7,26.59-34.99万,暂无报价,26.59万,FALSE,暂无报价,4.03,http://p9-dcd.byteimg.com/img/motor-img/2872c9749396000c647cd19ef6aaac54~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,元PLUS,5248,紧凑型SUV销量NO.2,13.98-16.78万,13.28-15.28万,13.98万,TRUE,13.98-16.78万,3.8,http://p1-dcd.byteimg.com/img/motor-img/73eaa859a85ce54d417dfdfc4b1e9f0b~tplv-resize:640:0.png,2023/1/5
小鹏汽车,195,纯电,小鹏P7,3352,,23.99-28.59万,24.00-37.00万,23.99万,FALSE,暂无报价,4.03,http://p1-dcd.byteimg.com/img/motor-img/5d49eb0e339b5f9a2d2ad0f9ff5f50aa~tplv-resize:640:0.png,2023/1/5
