城市名,车系id,车系名称,最低价,最高价,排名,本地销量,评论数,品牌名称,子品牌名称,价格区间,经销商价格
安阳,393,朗逸,12.09,15.09,1,142,1214,大众,上汽大众,12.09-15.09万,11.09-14.09万
安阳,4629,哪吒V,7.99,12.38,2,132,207,哪吒汽车,合众汽车,7.99-12.38万,7.59-12.18万
安阳,414,速腾,12.79,17.29,3,125,1658,大众,一汽-大众,12.79-17.29万,10.79-15.89万
安阳,5008,海豚,10.28,13.08,4,99,347,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安阳,4499,五菱宏光MINIEV,3.28,9.99,5,92,507,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
安阳,398,帕萨特,18.19,25.29,6,73,1176,大众,上汽大众,18.19-25.29万,15.49-25.29万
安阳,409,宝来,9.88,15.7,7,64,1036,大众,一汽-大众,9.88-15.70万,7.68-13.50万
安阳,3094,科鲁泽,9.49,12.29,8,59,994,雪佛兰,上汽通用雪佛兰,9.49-12.29万,7.19-9.39万
安阳,1145,轩逸,9.98,17.49,9,55,1611,日产,东风日产,9.98-17.49万,7.98-16.19万
安阳,2984,上汽大通MAXUS G50,8.78,16.58,10,46,65,上汽大通MAXUS,上汽大通,8.78-16.58万,8.28-16.08万
安阳,345,威朗,12.99,15.89,11,42,923,别克,上汽通用别克,12.99-15.89万,9.49-12.39万
安阳,4865,宋PLUS DM-i,15.28,21.68,12,41,1974,比亚迪,比亚迪,15.28-21.68万,15.28-21.68万
安阳,3171,捷达VS5,8.68,11.58,13,40,407,捷达,一汽-大众捷达,8.68-11.58万,8.68-11.58万
安阳,1101,小蚂蚁,7.39,9.4,14,40,193,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
安阳,3101,AION S,13.98,19.16,15,38,185,埃安,广汽埃安新能源,13.98-19.16万,13.98-19.16万
安阳,4802,秦PLUS DM-i,11.18,16.58,16,35,1656,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
安阳,3041,荣威i5,6.79,9.99,17,35,545,荣威,上汽集团,6.79-9.99万,5.99-9.99万
安阳,649,哈弗H6,9.89,15.7,18,34,1951,哈弗,长城汽车,9.89-15.70万,9.19-15.10万
安阳,415,迈腾,18.69,30.99,19,34,1058,大众,一汽-大众,18.69-30.99万,15.69-27.99万
安阳,280,本田CR-V,16.98,27.68,20,34,1031,本田,东风本田,16.98-27.68万,15.18-25.68万
安阳,1290,五菱宏光,4.6,5.99,21,33,217,五菱汽车,上汽通用五菱,4.60-5.99万,4.40-5.99万
安阳,397,凌渡,15.09,19.09,22,33,577,大众,上汽大众,15.09-19.09万,14.09-18.09万
安阳,2836,途岳,15.86,21.66,23,32,528,大众,上汽大众,15.86-21.66万,12.66-18.46万
安阳,5257,QQ冰淇淋,3.99,5.752,24,30,54,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
安阳,5248,元PLUS,13.78,16.58,25,30,348,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
安阳,4228,汉DM,21.58,31.98,26,30,1050,比亚迪,比亚迪,21.58-31.98万,21.58-31.98万
安阳,289,雅阁,16.98,25.98,27,30,2059,本田,广汽本田,16.98-25.98万,15.88-24.28万
安阳,1977,T-ROC探歌,15.89,17.79,28,29,437,大众,一汽-大众,15.89-17.79万,12.39-14.29万
