城市名,类型,车系id,车系名称,最低价,最高价,排名,本地销量,评论数,品牌名称,子品牌名称,价格区间,经销商价格
安康,纯电动,4499,五菱宏光MINIEV,3.28,7.28,1,21,495,五菱汽车,上汽通用五菱,3.28-7.28万,3.28-7.28万
安康,纯电动,5008,海豚,10.28,13.08,2,14,315,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安庆,纯电动,4499,五菱宏光MINIEV,3.28,7.28,1,90,495,五菱汽车,上汽通用五菱,3.28-7.28万,3.28-7.28万
安庆,纯电动,5859,长安Lumin,4.89,6.39,2,42,28,长安,长安汽车,4.89-6.39万,4.89-6.39万
安庆,纯电动,5257,QQ冰淇淋,3.99,5.752,3,41,51,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
安庆,纯电动,5008,海豚,10.28,13.08,4,27,315,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安庆,纯电动,5248,元PLUS,13.78,16.58,5,19,312,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
安庆,纯电动,1101,小蚂蚁,7.39,9.4,6,19,188,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
安庆,纯电动,4629,哪吒V,7.99,12.38,7,15,192,哪吒汽车,合众汽车,7.99-12.38万,7.69-12.08万
安庆,纯电动,4300,汉EV,21.48,32.98,8,15,1017,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
安庆,纯电动,5817,几何E,8.68,10.38,9,14,21,几何汽车,几何汽车,8.68-10.38万,8.68-10.38万
安庆,纯电动,4819,思皓E10X,6.99,8.09,10,13,37,思皓,江汽集团,6.99-8.09万,6.99-8.09万
安庆,纯电动,4635,欧拉好猫,12.99,17.1,11,11,235,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
安庆,纯电动,4363,Model Y,31.69,41.79,12,11,718,特斯拉,特斯拉中国,31.69-41.79万,31.69-41.79万
鞍山,纯电动,4499,五菱宏光MINIEV,3.28,7.28,1,71,495,五菱汽车,上汽通用五菱,3.28-7.28万,3.28-7.28万
鞍山,纯电动,5859,长安Lumin,4.89,6.39,2,20,28,长安,长安汽车,4.89-6.39万,4.89-6.39万
