城市名,类型,车系id,车系名称,最低价,最高价,排名,本地销量,评论数,降价,品牌名称,子品牌名称,价格区间,经销商价格
本溪,插电混动,311,唐DM,20.58,32.98,1,11,1054,0,比亚迪,比亚迪,20.58-32.98万,20.58-32.98万
朝阳,插电混动,4802,秦PLUS DM-i,11.18,16.58,1,15,1656,0,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
大庆,插电混动,5872,帝豪L 雷神Hi·P,12.98,16.88,1,28,110,0,吉利汽车,吉利汽车,12.98-16.88万,12.98-16.88万
呼伦贝尔,插电混动,4802,秦PLUS DM-i,11.18,16.58,1,12,0,0,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
牡丹江,插电混动,311,唐DM,20.58,32.98,1,11,1054,0,比亚迪,比亚迪,20.58-32.98万,20.58-32.98万
齐齐哈尔,插电混动,311,唐DM,20.58,32.98,1,22,1054,0,比亚迪,比亚迪,20.58-32.98万,20.58-32.98万
齐齐哈尔,插电混动,4865,宋PLUS DM-i,15.28,21.68,2,16,1974,0,比亚迪,比亚迪,15.28-21.68万,15.28-21.68万
齐齐哈尔,插电混动,3504,宋Pro DM-i,13.88,16.38,3,14,482,0,比亚迪,比亚迪,13.88-16.38万,13.88-16.38万
齐齐哈尔,插电混动,4802,秦PLUS DM-i,11.18,16.58,4,11,1656,0,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
商洛,插电混动,4802,秦PLUS DM-i,11.18,16.58,1,20,1656,0,比亚迪,比亚迪,11.18-16.58万,11.18-16.58万
商洛,插电混动,3504,宋Pro DM-i,13.88,16.38,2,12,482,0,比亚迪,比亚迪,13.88-16.38万,13.88-16.38万
乌兰察布,插电混动,4228,汉DM,21.58,31.98,1,11,1049,0,比亚迪,比亚迪,21.58-31.98万,21.58-31.98万
乌兰察布,插电混动,311,唐DM,20.58,32.98,2,11,1054,0,比亚迪,比亚迪,20.58-32.98万,20.58-32.98万
安康,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,42,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
安康,纯电动,5859,长安Lumin,4.89,6.39,2,16,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
安庆,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,110,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
安庆,纯电动,5008,海豚,10.28,13.08,2,48,347,0,比亚迪,比亚迪,10.28-13.08万,10.28-13.08万
安庆,纯电动,5257,QQ冰淇淋,3.99,5.752,3,41,53,0,奇瑞新能源,奇瑞新能源,3.99-5.752万,3.99-5.75万
安庆,纯电动,5859,长安Lumin,4.89,6.39,4,37,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
安庆,纯电动,1101,小蚂蚁,7.39,9.4,5,29,193,0,奇瑞新能源,奇瑞新能源,7.39-9.40万,7.39-9.40万
安庆,纯电动,5248,元PLUS,13.78,16.58,6,25,348,0,比亚迪,比亚迪,13.78-16.58万,13.78-16.58万
安庆,纯电动,4635,欧拉好猫,12.99,17.1,7,18,240,0,欧拉,长城汽车,12.99-17.10万,12.99-17.10万
安庆,纯电动,4540,宋PLUS EV,18.08,19.78,8,14,253,0,比亚迪,比亚迪,18.08-19.78万,18.08-19.78万
安庆,纯电动,4629,哪吒V,7.99,12.38,9,11,207,0,哪吒汽车,合众汽车,7.99-12.38万,7.69-12.08万
安庆,纯电动,4300,汉EV,21.48,32.98,10,11,1057,0,比亚迪,比亚迪,21.48-32.98万,21.48-32.98万
鞍山,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,63,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.99万
鞍山,纯电动,5093,宝骏KiWi EV,7.78,10.28,2,31,104,0,宝骏,上汽通用五菱,7.78-10.28万,7.78-10.28万
鞍山,纯电动,5859,长安Lumin,4.89,6.39,3,18,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
安顺,纯电动,4499,五菱宏光MINIEV,3.28,9.99,1,78,507,0,五菱汽车,上汽通用五菱,3.28-9.99万,3.28-9.98万
安顺,纯电动,5859,长安Lumin,4.89,6.39,2,34,41,0,长安,长安汽车,4.89-6.39万,4.89-6.39万
