厂商id,年,月份,厂商名称,品牌id,子品牌id,子品牌名称,销量,页码,dt
40,2020,1,上汽大众,40,549,朗逸,45836,1,20230112
198,2020,1,吉利汽车,198,2325,吉利博越,24735,1,20230112
30,2020,1,一汽-大众,30,573,宝来,30557,1,20230112
94,2020,1,东风日产,94,428,轩逸,50275,1,20230112
230,2020,1,长城汽车,230,776,哈弗H6,37674,1,20230112
58,2020,1,上汽通用别克,58,814,英朗,29328,1,20230112
55,2020,1,长安,55,3392,长安CS75 PLUS,18669,1,20230112
101,2020,1,北京现代,101,2343,领动,15182,1,20230112
76,2020,1,一汽丰田,76,492,卡罗拉,31392,1,20230112
164,2020,1,北京奔驰,164,357,奔驰E级,19472,1,20230112
135,2020,1,东风本田,135,145,CR-V,19497,1,20230112
69,2020,1,一汽-大众奥迪,69,10,奥迪A6L,15747,1,20230112
75,2020,1,广汽本田,75,86,雅阁,16046,1,20230112
175,2020,1,广汽丰田,175,1972,雷凌,18320,1,20230112
406,2020,1,上汽通用五菱,406,2641,宝骏510,13792,1,20230112
120,2020,1,华晨宝马,120,168,宝马5系,13210,1,20230112
127,2020,1,上汽通用五菱,127,841,五菱宏光,20916,1,20230112
182,2020,1,上汽集团,182,3248,荣威i5,12026,1,20230112
153,2020,1,上海通用雪佛兰,153,3322,科鲁泽,18608,1,20230112
89,2020,1,比亚迪,89,3449,比亚迪宋Pro,13499,1,20230112
206,2020,1,广汽乘用车,206,2136,传祺GS4,13395,2,20230112
74,2020,1,奇瑞,74,3074,瑞虎8,10185,2,20230112
54,2020,1,起亚,54,859,智跑,8344,2,20230112
189,2020,1,长安马自达,189,1847,昂克赛拉,10639,2,20230112
279,2020,1,东风小康,279,2453,风光580,7309,2,20230112
183,2020,1,上汽大众斯柯达,183,457,明锐,5133,2,20230112
144,2020,1,长安福特,144,1695,福睿斯,6126,2,20230112
223,2020,1,长安汽车,223,3450,长安欧尚X7,10685,2,20230112
157,2020,1,上汽通用凯迪拉克,157,2487,XT5,6306,2,20230112
1,2020,1,宝马（进口）,1,411,宝马X5（进口）,4934,2,20230112
354,2020,1,一汽-大众捷达,354,3386,捷达VS5,10864,2,20230112
24,2020,1,雷克萨斯,24,425,雷克萨斯ES,6307,2,20230112
327,2020,1,奇瑞汽车,327,3102,捷途X70,7466,2,20230112
184,2020,1,上汽名爵,184,660,名爵6,5869,2,20230112
7,2020,1,红旗,7,2593,红旗H5,6202,2,20230112
8,2020,1,奔驰（进口）,8,2180,奔驰GLE级,4618,2,20230112
296,2020,1,领克,296,2863,领克03,6938,2,20230112
61,2020,1,东风风行,61,3426,风行X5,4195,2,20230112
244,2020,1,沃尔沃亚太,244,2079,沃尔沃XC60,4949,2,20230112
177,2020,1,一汽奔腾,177,2696,奔腾X40,4128,2,20230112
226,2020,1,广汽三菱,226,2624,欧蓝德,6995,3,20230112
207,2020,1,东风日产启辰,207,2888,启辰D60,5135,3,20230112
231,2020,1,北京汽车,231,3489,北京X3,2479,3,20230112
194,2020,1,东风风神,194,3429,奕炫,4399,3,20230112
22,2020,1,丰田（进口）,22,2255,兰德酷路泽（进口）,3150,3,20230112
302,2020,1,长城汽车,302,2708,魏牌VV5,3475,3,20230112
68,2020,1,保时捷,68,372,卡宴,3294,3,20230112
90,2020,1,江淮汽车,90,3629,嘉悦A5,4693,3,20230112
276,2020,1,广汽菲亚特克莱斯勒,276,2706,指南者,2675,3,20230112
253,2020,1,江铃福特,253,3328,领界,4147,3,20230112
65,2020,1,路虎（进口）,65,216,揽胜,1564,3,20230112
219,2020,1,上汽大通MAXUS,219,3317,上汽MAXUS G50,1909,3,20230112
36,2020,1,林肯,36,3106,林肯航海家,849,3,20230112
308,2020,1,长安凯程,308,1282,欧诺S,1418,3,20230112
2,2020,1,奥迪（进口）,2,237,奥迪A8,1362,3,20230112
53,2020,1,东南,53,3581,东南DX5,1380,3,20230112
134,2020,1,东风标致,134,721,标致408,828,3,20230112
4,2020,1,大众（进口）,4,356,途锐,2128,3,20230112
318,2020,1,埃安,318,3297,AION S,2362,3,20230112
388,2020,1,特斯拉中国,388,3654,Model 3,2605,3,20230112
269,2020,1,东风英菲尼迪,269,2149,英菲尼迪QX50,1734,4,20230112
270,2020,1,奇瑞捷豹路虎,270,3909,发现运动版,1371,4,20230112
204,2020,1,福建奔驰,204,2597,奔驰V级,1314,4,20230112
93,2020,1,MINI,93,403,MINI,1465,4,20230112
277,2020,1,东风雷诺,277,2367,科雷嘉,904,4,20230112
530,2020,1,瑞风汽车,530,1994,瑞风M3,1296,4,20230112
35,2020,1,沃尔沃（进口）,35,238,沃尔沃XC90,1598,4,20230112
57,2020,1,东风雪铁龙,57,2818,天逸 C5 AIRCROSS,1074,4,20230112
44,2020,1,斯巴鲁,44,229,森林人,1244,4,20230112
143,2020,1,长安铃木,143,1983,启悦,1619,4,20230112
290,2020,1,SWM斯威汽车,290,3651,SWM斯威G05,1110,4,20230112
79,2020,1,中华,79,2168,中华V3,989,4,20230112
274,2020,1,宝沃,274,2463,宝沃BX5,1119,4,20230112
292,2020,1,蔚来汽车,292,3338,蔚来ES6,1483,4,20230112
211,2020,1,北京越野,211,905,北京BJ40,1238,4,20230112
63,2020,1,日产（进口）,63,277,途乐,1489,4,20230112
286,2020,1,华晨鑫源,286,1785,金杯小海狮X30,1078,4,20230112
358,2020,1,奇瑞新能源,358,2645,小蚂蚁,1128,4,20230112
264,2020,1,凯翼,264,2374,凯翼X3,886,4,20230112
357,2020,1,星途,357,3141,星途TX,786,4,20230112
340,2020,1,长城汽车,340,3346,欧拉黑猫,1254,5,20230112
214,2020,1,海马汽车,214,3091,海马8S,1117,5,20230112
50,2020,1,北汽昌河,50,2941,昌河Q7,764,5,20230112
344,2020,1,理想汽车,344,3274,理想ONE,1207,5,20230112
285,2020,1,奇瑞捷豹,285,2953,捷豹XEL,529,5,20230112
320,2020,1,小鹏汽车,320,2983,小鹏汽车G3,1073,5,20230112
283,2020,1,广汽讴歌,283,2541,讴歌CDX,541,5,20230112
20,2020,1,三菱（进口）,20,509,帕杰罗（进口）,1055,5,20230112
338,2020,1,合众汽车,338,3204,哪吒N01,1025,5,20230112
80,2020,1,猎豹汽车,80,2544,猎豹CS9,429,5,20230112
232,2020,1,特斯拉,232,2498,Model 3（进口）,578,5,20230112
399,2020,1,梅赛德斯-迈巴赫,399,2092,迈巴赫S级,952,5,20230112
91,2020,1,Jeep,91,502,牧马人,728,5,20230112
300,2020,1,威马,300,2976,威马EX5,808,5,20230112
398,2020,1,中国重汽VGV,398,3802,VGV U70,880,5,20230112
200,2020,1,东风小康,200,804,小康K01,561,5,20230112
202,2020,1,AMG,202,2065,AMG GT,226,5,20230112
280,2020,1,汉腾汽车,280,2506,汉腾X7,351,5,20230112
259,2020,1,北汽新能源,259,3411,北汽新能源EC5,264,5,20230112
203,2020,1,野马汽车,203,3382,博骏,550,5,20230112
169,2020,1,众泰,169,2879,众泰T600 Coupe,111,6,20230112
97,2020,1,英菲尼迪(进口),97,1787,QX60（进口）,256,6,20230112
373,2020,1,几何汽车,373,3362,几何A,542,6,20230112
70,2020,1,捷豹,70,1798,捷豹F-PACE,437,6,20230112
342,2020,1,大乘汽车,342,3236,大乘G60s,312,6,20230112
59,2020,1,玛莎拉蒂,59,1182,Levante,269,6,20230112
25,2020,1,福特（进口）,25,657,Mustang,241,6,20230112
331,2020,1,广汽丰田,331,3580,广汽丰田iA5,335,6,20230112
64,2020,1,宾利,64,1402,添越,153,6,20230112
87,2020,1,陆风汽车,87,3398,陆风荣曜,257,6,20230112
312,2020,1,君马汽车,312,3191,君马SEEK 5（赛克5）,221,6,20230112
278,2020,1,东风汽车,278,3222,俊风E11K,256,6,20230112
225,2020,1,腾势,225,3628,腾势X PHEV,215,6,20230112
227,2020,1,观致,227,2329,观致5,203,6,20230112
235,2020,1,宝马M,235,1769,宝马M4,76,6,20230112
307,2020,1,长安跨越,307,2871,长安V3,176,6,20230112
42,2020,1,阿尔法-罗密欧,42,2654,Giulia,95,6,20230112
289,2020,1,驭胜,289,865,驭胜S350,159,6,20230112
185,2020,1,一汽吉林,185,3513,森雅R9,124,6,20230112
385,2020,1,长安林肯,385,3591,冒险家,153,6,20230112
262,2020,1,江西五十铃,262,2119,五十铃mu-X牧游侠,144,7,20230112
258,2020,1,潍柴英致汽车,258,2298,英致737,120,7,20230112
295,2020,1,江铃集团新能源,295,3358,易至EV3,103,7,20230112
335,2020,1,零跑汽车,335,3190,零跑S01,133,7,20230112
41,2020,1,劳斯莱斯,41,2447,库里南,53,7,20230112
100,2020,1,郑州日产,100,764,NV200,98,7,20230112
110,2020,1,北汽制造,110,1253,勇士,55,7,20230112
355,2020,1,广汽本田,355,3330,世锐混动,89,7,20230112
88,2020,1,一汽海马,88,2390,福美来七座版,66,7,20230112
367,2020,1,国机智骏,367,3467,国机智骏GC1,63,7,20230112
186,2020,1,福田汽车,186,2202,萨瓦纳,25,7,20230112
210,2020,1,广汽本田,210,3240,广汽本田VE-1,82,7,20230112
9,2020,1,克莱斯勒（进口）,9,3082,大捷龙混动,60,7,20230112
217,2020,1,DS汽车,217,3061,DS 7,44,7,20230112
193,2020,1,开瑞汽车,193,2128,开瑞K50,39,7,20230112
108,2020,1,道奇（进口）,108,2035,Challenger,69,7,20230112
234,2020,1,Audi Sport,234,1453,奥迪RS 5,33,7,20230112
395,2020,1,东风本田,395,3493,东风本田X-NV,67,7,20230112
329,2020,1,江淮大众,329,3129,思皓E20X,66,7,20230112
390,2020,1,汉龙汽车,390,3664,旷世,66,7,20230112
149,2020,1,福迪,149,2078,揽福,62,8,20230112
162,2020,1,天津一汽,162,3093,骏派D80,32,8,20230112
216,2020,1,北汽威旺,216,2664,北汽威旺M50F,58,8,20230112
215,2020,1,东风裕隆,215,1749,优6 SUV,31,8,20230112
303,2020,1,云度,303,2849,云度π1,26,8,20230112
